"id","created_at","text","url","openmeasures_meta_source_endpoint","openmeasures_metadata_source_endpoint","engagement_likes","engagement_reshares","engagement_dislikes","engagement_replies","engagement_views","openmeasures_media_hash","openmeasures_media_openmeasures_metadata_source_endpoint","openmeasures_media_mimetype","openmeasures_media_thumbnail_hash","context_name","actor_username"
"11061926851986327936","2025-10-13T18:40:50+00:00","🇲🇱Mali/AES 
Malgré tous ces problèmes ils ont le temps d'attaquer la Côte d'Ivoire avec des trolls pour perturber le processus électoral.
Dieu ne dort pas.

Source 📸 : Serge Daniel","https://t.me/NaimInfo2/2432","telegram","telegram","","5","","","5153","","","","","Naïm Infos 2",""
"8888541630613696279","2025-10-13T17:34:38+00:00","🇨🇮 Le président ivoirien Alassane Ouattara, protégé des élites françaises, adopte la stratégie électorale la plus simple : disperser, réprimer, faire taire.

▪️À l'approche des controversées élections présidentielles, qui auront lieu dans moins de deux semaines, la situation en Côte d'Ivoire continue de s'envenimer.

▪️La Marche pour la démocratie, la justice et la paix, prévue par l'opposition le 11 octobre, a été dispersée par la gendarmerie ivoirienne.

🔻En réprimant l'opposition, les autorités vont désormais faire face à des protestations quotidiennes, des campagnes médiatiques et des grèves dans les entreprises.

📌 Le séisme politique est devenu inévitable depuis que trois candidats ""gênants"" ont été exclus des élections. Ouattara, apparemment, n'a toujours pas compris qu'il ne faut en aucun cas acculer ses adversaires.
#CôtedIvoire #TechnologieElectorale #fr
@rybarFR","https://t.me/rybarFR/12055","telegram","telegram","","","","","116","","","","","Rybar FR",""
"7059768534779359638","2025-10-10T18:58:13+00:00","🇨🇮 🗳 Côte d’Ivoire: ouverture de la campagne présidentielle

À Abidjan, le Premier ministre Robert Beugré Mambé a présenté le bilan du chef de l’État Alassane Ouattara et les grandes lignes d’un programme axé sur le développement et la consolidation des acquis économiques.

Des citoyens ont fait part à Sputnik Afrique de leurs attentes pour cette campagne:

💬 ""Nous attendons de notre dirigeant qu'il œuvre pour l'emploi. Nous attendons qu'il œuvre pour la jeunesse, pour qu'on puisse avoir du travail, pour pouvoir nous insérer dans le milieu professionnel"", explique Laurenzi Kouakou Cadre jeunesse RHDP Cocody- Riviera.

💬 ""L'élection, c'est la meilleure solution. Notre souhait est que ça se passe dans la paix, la cohésion, la fraternité"", ajoute Diarrassouba Laciné, membre du parti RHDP.

💬 ""Pour nous, ces élections sont un acte de liberté, de stabilité. Ce que la jeunesse ivoirienne, la jeunesse africaine, attend de ses dirigeants, c'est l'insertion sociale et professionnelle des jeunes. Ils ont besoin de travail, d'avoir un statut social"", explique encore Agbo Stéphan, président de Jeunesse Atchan RHDP Cocody.

💬 ""Je suis commerçante. Je veux la paix, pour que mon commerce puisse marcher. J'ai des enfants à élever"", déclare Huguette Koutouan, vendeuse d'attieké.

Abonnez-vous @sputnik_afrique

🔸 Sputnik Afrique | X 🔸","https://t.me/sputnik_afrique/61846","telegram","telegram","","3","","3","1376","","","","","Sputnik Afrique Officiel",""
"5332691326687311987","2025-10-10T15:00:17+00:00","Côte d’Ivoire : la campagne pour la présidentielle 2025 démarre officiellement

Le compte à rebours pour l’élection présidentielle ivoirienne s’enclenche dès ce 10 octobre à minuit, dans un contexte d’invalidation des candidatures de plusieurs figures de l’opposition et d’une campagne de l’actuel président Alassane Ouattara.
En savoir plus sur RT en français","https://t.me/RTenfrancais/63603","telegram","telegram","","1","","1","857","","","","","RT en français",""
"7510051063551008125","2025-10-10T14:36:32+00:00","Côte d’Ivoire : La campagne pour la Présidentielle 2025 s’ouvre officiellement aujourd’hui
10 octobre 2025 par Kouamé L.-PH. Arnaud
En Côte d’Ivoire, après la proclamation des candidats à la Présidentielle du 25 Octobre prochain par le Conseil constitutionnel le 08 septembre 2025, l’heure est à la campagne électorale. Le président de la Commission Électorale Indépendante (CEI), Ibrahime Kuibiert Coulibaly, a annoncé l’ouverture officielle, dès ce vendredi 10 octobre 2025, de cette étape importante devant déboucher sur la désignation par voix de vote de celui ou celle qui présidera pendant cinq années à la destinée des Ivoiriens.
Les cinq (5) candidats à la présidentielle ivoirienne, en l’occurrence, le Chef de l’Etat sortant Alassane Ouattara, Jean-Louis Billon, Simone Ehivet (Gbagbo), Henriette Lagou et Ahoua Don Mello ont deux semaines pour séduire les électeurs ivoiriens.
Chacun allant de sa stratégie de conquête, le président sortant, Alassane Ouattara, candidat du Rassemblement des Houphouëtistes pour la Démocratie et la Paix (RHDP), a choisi la ville de Daloa, dans le Centre-Ouest du pays, pour le lancement officiel de sa campagne. Cet évènement est prévu pour le samedi 11 octobre à la mi-journée.
A 80 kilomètres de Daloa, C’est-à-dire à Bouaflé, l’ex-première dame, Simone Ehivet (Gbagbo) et présidente du Mouvement des Générations Capables (MGC), se livrera, le même jour, au même exercice, et donnera également le coup d’envoi de sa campagne.
Pour Henriette Lagou, candidate du Groupement des Partenaires Politiques pour la Paix (GP-Paix), la bénédiction des siens est primordiale. Elle ouvrira sa campagne le lundi 13 octobre à Daoukro, dans le centre du pays.
Ahoua Don Mello, transfuge du Parti des Peuples Africains – Côte d’Ivoire de Laurent Gbagbo, PPA-CI, quant à lui, a opté pour la commune de Cocody, à Abidjan, la capitale économique ivoirienne, ce vendredi 10 octobre à 11h GMT après qu’il lui ait été « refusé le palais des sports de Treichville » comme s’en plaignait son équipe de campagne.
Enfin, le candidat Jean-Louis Billon, grand opposant de Tidjane Thiam au Parti Démocratique de Côte d’Ivoire, PDCI, désormais à la tête du Congrès Démocratique (CODE), lancera sa campagne dans la commune de Marcory dans le district d’Abidjan ce vendredi 10 octobre.
La période de campagne électorale se tiendra du 10 au 23 octobre à minuit, soit deux (2) semaines avant l’échéance du vote le 25 octobre 2025 par les 8 727 431 électeurs, vivant en Côte d’Ivoire et à l’étranger.
Kouamé L.-Ph. Arnaud KOUAKOU
Correspondant de Burkina 24 en Côte d’Ivoire","https://t.me/UNION_LIBERTE_AFRICAINE_TV/40317","telegram","telegram","","1","","","406","","","","","🌍UNION LIBERTÉ AFRICAINE ✊🏿💪🏿🌍✨️️","Badoun L."
"7153828301382004246","2025-10-05T18:57:37+00:00","🇨🇮 Le président ivoirien Alassane Ouattara a tenu le 2 octobre une réunion du Conseil national de sécurité (CNS) au cours de laquelle il a été décidé d’interdire les marches et les manifestations de rue à l’approche des élections présidentielles prévues le 25 octobre. 

Au cours de la réunion, le CNS a noté une amélioration significative de la situation sécuritaire dans le pays et s’est félicité du lancement de l’opération « Espérance », visant à garantir un scrutin pacifique et transparent. Cette opération mobilise 44 000 militaires et agents des forces de sécurité, qui servent dans le cadre de patrouilles mixtes. Le chef de l’État a remercié les ministres de la Défense et de la Sécurité, ainsi que le commandement des forces armées, pour le travail accompli dans la préparation de cet ensemble de mesures.

🔸 Il a appelé toutes les forces politiques à rester calmes et à contribuer au bon déroulement des élections.

African Initiative | S'abonner 🌍","https://t.me/peuples_De_L_AES/175638","telegram","telegram","","2","","","259","","","","","Peuples de l'AES🇲🇱🇧🇫🇳🇪",""
"7510051063551007770","2025-10-04T17:23:39+00:00","GBAGBO DÉNONCE LA FRANCE ET LA MANIPULATION ÉLECTORALE !

Dans un entretien explosif sur LCI, Mardi 5 Avril,
 2011, depuis la présidence, Laurent GBAGBO n’a pas mâché ses mots :
« Ouattara n’a pas gagné les élections. Je réclame la vérité des urnes. Je ne démissionne pas. Les Français sont en guerre contre nous. Je ne lâcherai pas, car si à l’époque j’avais tout lâché, on n’aurait pas eu le multipartisme. »

Il a expliqué comment la France a orchestré l’arrivée des rebelles et leur transport d’un point à un autre, en communication directe avec un Français, pour renverser le cours de l’histoire ivoirienne.

💥 Laurent GBAGBO comme on l’aime : clair, courageux et déterminé !
📌 écoutez tous les détails jusqu’à la fin.

La vidéo complète ici 👇🏿 

https://t.me/REVEIL_CITOYEN_TV/270","https://t.me/UNION_LIBERTE_AFRICAINE_TV/39962","telegram","telegram","","","","","729","","","","","🌍UNION LIBERTÉ AFRICAINE ✊🏿💪🏿🌍✨️️",""
"6728609286194205546","2025-10-03T21:08:52+00:00","🇨🇮 Le président ivoirien Alassane Ouattara a tenu le 2 octobre une réunion du Conseil national de sécurité (CNS) au cours de laquelle il a été décidé d’interdire les marches et les manifestations de rue à l’approche des élections présidentielles prévues le 25 octobre. 

Au cours de la réunion, le CNS a noté une amélioration significative de la situation sécuritaire dans le pays et s’est félicité du lancement de l’opération « Espérance », visant à garantir un scrutin pacifique et transparent. Cette opération mobilise 44 000 militaires et agents des forces de sécurité, qui servent dans le cadre de patrouilles mixtes. Le chef de l’État a remercié les ministres de la Défense et de la Sécurité, ainsi que le commandement des forces armées, pour le travail accompli dans la préparation de cet ensemble de mesures.

🔸 Il a appelé toutes les forces politiques à rester calmes et à contribuer au bon déroulement des élections.

African Initiative | S'abonner 🌍","https://t.me/africaninitiativefr/4970","telegram","telegram","","","","","182","","","","","African Initiative FR",""
"7153828301382003811","2025-10-03T10:09:57+00:00","🇨🇮 Côte d’Ivoire :À quelques jours des élections, le cacao fixé à un prix record de 2 800 F CFA le kilo

Le président Alassane Ouattara a annoncé, à la veille du scrutin, un prix bord champ historique de 2 800 F CFA (4,26 €) le kilo pour la campagne 2025-2026. Cette décision intervient dans un contexte de flambée mondiale des cours et marque un tournant pour les producteurs ivoiriens.","https://t.me/peuples_De_L_AES/175203","telegram","telegram","","5","","2","1747","","","","","Peuples de l'AES🇲🇱🇧🇫🇳🇪",""
"5437653287950112384","2025-10-03T10:09:54+00:00","🇨🇮 Côte d’Ivoire :À quelques jours des élections, le cacao fixé à un prix record de 2 800 F CFA le kilo

Le président Alassane Ouattara a annoncé, à la veille du scrutin, un prix bord champ historique de 2 800 F CFA (4,26 €) le kilo pour la campagne 2025-2026. Cette décision intervient dans un contexte de flambée mondiale des cours et marque un tournant pour les producteurs ivoiriens.","https://t.me/Strategiescontinentales/22144","telegram","telegram","","5","","2","1807","","","","","Stratégies Continentales",""
